Country,Year,CO2,GDP,Renewables
Bulgaria,2000,5.687,8410.795,7224.8784
Bulgaria,2001,6.183,8832.291,7387.8942
Bulgaria,2002,5.869,9471.766,7784.3293
Bulgaria,2003,6.470,10080.783,7078.7241
Bulgaria,2004,6.392,10853.785,6978.330307
Bulgaria,2005,6.576,11758.084,8019.057913
Bulgaria,2006,6.785,12706.182,8303.158548
Bulgaria,2007,7.338,13785.228,6141.506501
Bulgaria,2008,7.169,14761.715,6540.5152
Bulgaria,2009,6.110,14363.259,6634.568657
Bulgaria,2010,6.429,14686.461,7344.646326
Bulgaria,2011,7.198,15112,7072.564844
Bulgaria,2012,6.598,15314.524,7383.65687
Bulgaria,2013,5.862,15314.154,7383.53364
Bulgaria,2014,6.253,15550.346,8121.6455
Bulgaria,2015,6.705,16186.409,8419.65356
Bulgaria,2016,6.362,16795.824,7920.6991
Bulgaria,2017,6.706,17386.271,7518.97726
Bulgaria,2018,6.193,17982.424,8474.93382
Bulgaria,2019,6.049,18840.764,7884.44445
Bulgaria,2020,5.274,18203.832,7973.99255
Denmark,2000,10.170,39021.176,2222.676093
Denmark,2001,10.431,39425.863,2234.564467
Denmark,2002,10.334,39709.37,2502.267671
Denmark,2003,11.250,39983.145,2822.29139
Denmark,2004,10.195,41178.562,3315.181378
Denmark,2005,9.509,42264.63,3292.867954
Denmark,2006,10.943,44025.484,3016.11956
Denmark,2007,10.017,44481.47,3507.023621
Denmark,2008,9.330,44246.4,3340.907113
Denmark,2009,8.845,42090.17,3204.420534
Denmark,2010,8.866,42932.4,3678.322218
Denmark,2011,7.941,43575,4560.278817
Denmark,2012,7.128,43509.613,4789.35268
Denmark,2013,7.437,43743.61,5308.007335
Denmark,2014,6.657,44215.633,6171.799892
Denmark,2015,6.177,44940.887,6572.376551
Denmark,2016,6.445,46018.984,5941.158419
Denmark,2017,6.013,47022.01,6742.807793
Denmark,2018,5.973,47717.457,6384.302457
Denmark,2019,5.323,48238.656,7292.16129
Denmark,2020,4.853,47171.086,7421.474192
Germany,2000,10.990,33367.285,6927.90167
Germany,2001,11.171,34260.29,6915.190487
Germany,2002,10.952,34590.93,6828.322495
Germany,2003,10.894,34716.44,6729.099895
Germany,2004,10.678,35528.715,7077.289368
Germany,2005,10.578,36205.574,6938.053754
Germany,2006,10.850,38014.137,7231.70893
Germany,2007,10.408,39752.207,6717.68861
Germany,2008,10.561,40715.434,6997.5958
Germany,2009,9.761,38962.938,6489.03228
Germany,2010,10.228,41109.582,6830.71322
Germany,2011,9.950,43189,6263.4756
Germany,2012,10.061,43288.32,6358.8291
Germany,2013,10.263,43359.137,6426.74724
Germany,2014,9.740,44132.758,6587.10884
Germany,2015,9.757,44405.168,7077.694
Germany,2016,9.642,45030.47,6759.8777
Germany,2017,9.441,46065.1,7247.797
Germany,2018,9.101,46377.39,7398.93075
Germany,2019,8.481,46761.945,7877.1826
Germany,2020,7.739,44996.43,7803.5226
Italy,2000,8.199,32716.98,2171.938072
Italy,2001,8.196,33511.434,2314.279737
Italy,2002,8.309,33780.055,1953.572005
Italy,2003,8.575,33917.8,1800.431995
Italy,2004,8.606,34472.13,2059.605877
Italy,2005,8.567,34872.125,1765.833116
Italy,2006,8.443,35713.805,1820.32005
Italy,2007,8.286,36310.734,1659.76149
Italy,2008,8.028,35942.938,2067.743875
Italy,2009,7.079,34055.227,2469.304598
Italy,2010,7.241,34765.938,2690.059446
Italy,2011,7.022,35151,2852.7634
Italy,2012,6.665,34010.035,3156.90497
Italy,2013,6.091,33317.242,3763.7407
Italy,2014,5.759,33310.703,4027.91916
Italy,2015,5.964,33620.742,3482.37264
Italy,2016,5.922,34120.42,3416.0376
Italy,2017,5.840,34754.77,3242.1728
Italy,2018,5.791,35149.824,3680.94413
Italy,2019,5.648,35407.242,3715.01966
Italy,2020,5.051,32385.326,3764.19414
Spain,2000,7.539,26994.86,6536.210824
Spain,2001,7.541,28153.553,7468.936524
Spain,2002,7.928,28753.322,6253.463997
Spain,2003,7.894,29371.865,7374.726452
Spain,2004,8.145,30088.092,6960.07979
Spain,2005,8.359,30885.602,5908.992031
Spain,2006,8.029,31907.424,6546.503787
Spain,2007,8.051,32735.434,6451.48315
Spain,2008,7.252,32844.324,6735.62851
Spain,2009,6.351,31669.691,6926.3605
Spain,2010,6.033,31786.404,8583.8168
Spain,2011,6.027,31600,7686.32707
Spain,2012,5.901,30645.215,7863.4021
Spain,2013,5.380,30327.451,8862.87405
Spain,2014,5.429,30842.184,8831.74833
Spain,2015,5.789,32057.098,8060.08585
Spain,2016,5.554,33002.676,8471.1437
Spain,2017,5.835,33924.137,7461.37664
Spain,2018,5.702,34553.625,8120.9371
Spain,2019,5.285,34957.465,7773.0255
Spain,2020,4.441,30834.514,8592.1977
